P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100,Dist
77,78,100,37,26,57,13,71,49,29,45,11,6,99,32,22,91,68,83,95,20,39,9,10,85,4,88,61,67,14,41,89,42,17,98,97,8,79,44,94,82,36,1,15,59,30,16,92,63,90,21,48,50,43,87,31,64,72,62,51,28,93,56,80,81,38,54,58,53,18,24,2,73,25,3,34,40,35,60,74,70,76,47,84,5,19,65,66,12,75,23,27,52,46,86,33,7,96,55,69,15.2286736882681
73,26,31,87,43,94,88,61,25,53,67,41,89,100,32,22,91,68,78,98,82,71,13,66,12,75,36,50,93,56,28,63,47,86,33,3,96,60,90,48,21,15,49,5,84,29,59,64,44,4,39,1,19,27,52,46,76,7,72,77,16,30,38,81,80,97,95,20,57,65,23,74,70,35,40,34,45,62,17,8,79,83,42,51,11,55,69,6,92,99,54,58,14,37,18,24,10,9,85,2,14.2374348239272
98,62,3,96,60,35,40,34,45,11,6,30,16,68,54,41,83,79,97,56,93,87,43,71,82,8,89,100,78,69,55,51,80,59,31,64,94,44,4,9,39,20,57,13,1,15,49,29,61,25,67,53,37,26,73,85,95,50,36,19,23,75,12,66,65,27,52,46,74,70,76,90,21,48,5,84,63,47,72,7,33,86,28,17,42,81,38,77,92,99,32,22,91,58,14,18,2,24,10,88,13.1773099565717
63,84,5,15,36,1,49,29,64,79,83,58,54,68,99,92,16,30,42,56,80,48,21,90,46,52,43,95,94,93,81,51,62,72,27,19,23,66,73,37,61,20,12,75,65,97,89,100,38,69,6,32,22,91,67,53,57,13,71,50,82,87,44,88,85,24,2,14,41,78,77,55,11,76,47,59,31,4,39,9,10,18,26,25,8,98,17,28,86,70,74,60,7,45,3,96,34,40,35,33,16.3987379886742
31,44,4,95,20,57,13,42,78,77,6,69,11,72,59,87,43,82,94,79,97,81,51,62,47,84,49,50,71,1,15,19,23,65,75,12,66,36,27,52,39,10,24,2,40,35,7,28,80,56,17,98,5,48,21,90,46,45,55,38,8,61,73,67,14,58,99,92,41,53,18,26,37,100,30,16,32,22,91,68,54,89,83,25,85,9,88,93,76,74,70,60,34,96,3,33,86,63,29,64,15.7884559124282
89,100,42,81,38,11,45,3,96,34,76,46,90,84,64,44,85,10,9,4,1,15,36,71,95,39,73,37,41,78,69,62,72,47,63,29,50,43,94,88,79,51,40,35,60,33,86,7,97,8,83,58,54,68,16,6,55,70,74,52,21,48,5,98,17,77,30,92,99,32,22,91,53,26,18,2,24,12,75,23,65,82,87,31,93,56,80,28,59,49,27,19,66,13,57,20,61,25,67,14,15.4912838370718
23,19,27,21,56,78,92,99,30,41,83,88,44,94,96,3,34,40,35,62,38,77,16,91,32,22,18,2,24,10,85,9,39,95,20,57,13,71,1,15,46,7,72,51,81,80,28,86,33,45,11,69,6,55,60,74,70,76,47,59,43,82,50,49,29,87,64,31,79,8,58,54,68,100,89,42,17,98,14,67,53,61,97,93,5,48,36,65,75,12,66,4,73,26,37,25,63,84,90,52,15.3278363904964
49,29,59,93,56,89,58,100,42,80,51,62,72,7,86,33,96,3,92,99,26,18,2,87,64,31,79,83,25,37,53,67,14,41,8,43,1,36,65,75,23,94,88,73,61,97,34,40,35,60,74,70,76,46,90,48,84,63,47,28,78,54,68,22,32,91,16,30,44,20,57,13,66,12,52,21,45,11,55,69,6,77,38,81,17,98,5,27,19,15,9,10,24,85,39,4,95,82,71,50,15.0858489547875
17,8,88,24,2,73,26,37,83,89,100,41,14,67,53,18,10,9,85,39,4,44,87,49,5,59,56,42,78,30,77,69,6,16,58,25,61,79,97,93,95,20,57,13,66,1,15,71,82,94,31,64,43,29,84,70,74,35,40,34,11,55,92,99,32,22,91,68,54,38,50,36,75,12,65,23,19,27,52,21,48,90,46,96,3,45,62,51,98,80,28,33,60,76,63,47,86,7,72,81,12.9852211763297
48,49,71,44,25,67,14,98,56,80,28,51,69,6,92,16,68,54,30,77,78,89,100,41,8,64,50,82,43,87,31,97,93,79,61,83,42,38,81,17,29,15,1,13,66,12,75,52,90,7,96,3,62,88,85,9,72,34,40,35,47,5,36,65,23,19,27,21,84,63,59,94,4,2,24,10,39,20,57,95,73,18,26,37,53,58,91,22,32,99,55,11,45,60,74,70,33,86,76,46,15.0925264698685
58,67,53,1,15,71,82,43,87,97,98,81,51,45,72,62,38,79,61,2,24,10,9,39,4,85,88,76,33,86,60,3,96,7,47,5,36,65,23,19,17,42,100,41,89,35,40,34,77,78,30,14,37,18,73,26,25,83,8,13,66,12,75,27,74,70,46,90,52,21,48,49,50,29,84,63,59,80,56,93,64,57,20,95,44,94,31,28,11,55,69,6,92,99,16,54,68,22,32,91,15.1466556597699
5,76,70,74,60,33,86,47,63,80,28,62,35,40,34,51,98,8,25,61,88,94,31,64,93,56,84,90,52,27,36,23,19,21,48,15,1,95,85,24,10,9,39,4,44,54,91,68,78,38,81,6,92,99,22,32,42,29,50,13,57,20,2,18,73,26,83,79,97,59,46,7,72,96,3,45,11,55,69,77,100,14,67,53,37,41,89,58,16,30,17,87,43,82,71,65,75,12,66,49,14.8050398977589
1,71,13,57,20,95,44,88,79,38,42,61,25,83,8,6,99,32,16,30,78,4,39,9,10,18,54,68,91,22,92,97,15,36,65,66,12,75,23,19,27,49,33,86,76,90,21,46,70,74,35,40,34,77,69,55,3,96,60,47,63,59,64,31,87,43,50,82,94,85,24,2,73,26,37,53,67,14,41,58,100,89,17,98,80,11,45,72,7,48,52,5,84,28,51,62,81,56,93,29,14.6679759266695
21,52,49,50,95,20,4,39,9,18,53,37,2,24,10,85,44,94,82,1,15,63,47,28,38,78,30,77,6,55,11,62,51,81,42,83,25,26,61,73,88,97,35,40,34,72,17,98,29,19,27,90,84,56,93,59,36,65,12,66,71,43,87,57,13,75,23,46,7,69,92,99,32,22,91,68,54,16,45,3,96,86,33,60,74,70,76,80,79,8,41,89,100,58,14,67,31,64,5,48,14.391392344296
90,46,70,60,33,86,27,19,65,57,39,9,10,24,2,85,88,44,13,66,12,75,23,36,15,1,64,61,25,83,8,79,97,93,80,56,98,17,81,42,89,41,14,67,53,37,26,18,73,4,20,95,94,31,11,55,45,7,76,48,21,52,74,35,40,34,96,3,69,6,16,30,77,78,100,58,54,68,91,22,32,99,92,38,59,50,71,82,43,87,49,5,29,63,72,62,51,28,47,84,12.6790331391249
71,36,66,12,75,65,23,19,27,48,5,93,8,54,68,91,16,30,69,77,78,2,24,10,9,85,50,49,1,15,52,21,90,46,76,47,63,72,62,51,81,38,42,89,100,58,41,14,67,53,37,26,61,83,17,98,56,97,79,25,18,73,88,59,84,29,87,64,80,28,7,86,70,74,60,33,55,99,22,32,92,6,11,45,96,35,40,34,3,31,94,95,20,82,43,44,4,39,57,13,13.4751986885583
45,51,95,20,57,71,1,50,82,13,66,12,75,65,23,19,27,36,15,49,87,94,44,88,39,4,43,29,5,84,63,28,80,59,64,31,61,25,37,53,54,16,30,38,81,72,7,60,70,74,35,40,34,78,100,89,42,17,76,33,86,47,46,90,21,52,48,62,69,6,77,58,41,14,67,83,8,79,97,93,56,98,85,9,10,24,2,18,73,26,68,91,22,32,99,92,55,11,3,96,13.3067534151277
42,81,51,72,40,35,70,74,60,33,86,76,46,90,52,19,36,15,27,21,84,47,7,34,96,3,45,62,63,29,49,48,5,59,80,97,93,56,98,17,8,79,83,37,53,67,14,89,78,55,11,28,94,44,4,39,73,61,88,87,43,82,71,50,64,31,38,77,69,6,99,92,1,66,65,23,75,12,13,57,20,95,9,85,24,10,2,18,26,25,41,58,68,54,91,22,32,16,30,100,12.7403639961259
24,10,9,85,39,4,71,15,48,21,52,27,23,75,12,66,57,44,89,41,100,78,30,77,69,3,7,47,29,87,43,64,62,45,11,55,6,16,91,68,54,42,31,82,13,20,95,94,97,81,72,96,34,40,35,33,86,76,60,74,70,46,90,63,56,98,17,8,83,53,67,14,88,1,19,65,36,26,37,58,22,32,99,92,38,51,28,84,5,49,50,59,80,93,79,25,61,73,18,2,15.0353623929228
3,34,55,69,6,92,99,32,22,91,30,5,52,27,15,94,44,88,61,37,41,54,68,16,11,45,51,43,57,20,95,9,24,10,2,18,26,25,79,80,7,40,35,86,47,76,33,60,70,74,46,90,84,63,83,14,67,53,73,85,39,4,98,17,81,42,8,31,87,64,97,93,56,38,77,78,100,58,89,59,29,50,49,21,48,19,23,75,12,66,13,65,36,1,71,82,28,62,72,96,14.4308227587812
35,40,34,3,96,86,76,49,15,36,1,71,20,95,4,10,24,61,26,73,2,18,53,37,25,88,31,64,28,62,51,56,80,72,45,11,55,69,6,32,22,91,68,54,16,30,38,81,42,17,98,93,94,44,85,9,39,57,13,66,12,65,50,29,84,74,70,60,33,7,46,90,52,27,48,5,59,97,83,67,14,41,58,78,77,92,99,100,89,8,79,87,43,82,75,23,19,21,63,47,12.7227064675837
55,6,92,16,30,78,77,81,98,56,93,97,64,31,8,58,100,89,42,59,29,49,50,94,25,53,37,26,44,82,13,95,4,61,73,2,24,39,20,57,71,36,65,23,21,48,63,80,99,32,22,91,68,54,18,10,9,85,88,79,38,69,11,45,28,17,41,14,67,83,66,12,75,47,51,62,72,33,86,60,70,74,52,27,19,15,1,43,87,5,84,90,46,76,7,35,40,34,96,3,14.9664160866334
65,19,27,21,48,5,29,63,76,86,33,70,74,46,90,84,47,72,45,11,6,68,54,8,79,44,88,39,4,9,85,61,73,2,24,10,18,26,42,38,81,17,83,53,37,25,57,13,82,43,59,7,96,3,98,56,93,97,31,64,87,50,15,36,1,71,20,95,94,80,51,62,55,69,89,41,67,14,58,100,16,30,78,66,12,75,23,52,60,35,40,34,92,99,32,22,91,77,28,49,15.024428804186
87,94,44,88,85,2,73,41,100,55,11,45,34,40,35,63,15,36,1,50,31,79,25,61,95,20,71,19,23,65,57,39,9,26,37,58,54,68,14,67,53,83,98,56,80,59,48,49,29,64,97,8,89,78,77,69,81,17,42,38,30,99,92,6,3,96,72,62,51,28,5,21,52,27,4,10,24,18,22,32,91,16,93,82,13,66,12,75,90,46,47,33,7,86,76,60,70,74,84,43,16.1567059331782
29,87,64,93,80,28,62,51,8,83,73,2,24,10,61,79,97,71,1,15,19,27,52,21,49,50,36,65,66,94,88,25,53,37,26,85,9,44,31,63,47,7,33,86,76,43,95,20,4,39,18,67,14,41,58,100,78,42,81,72,96,3,45,11,55,6,16,30,77,69,38,17,98,56,35,40,34,92,99,32,22,91,68,54,89,59,23,75,12,13,57,82,5,48,90,46,74,70,60,84,14.0916556468275
48,5,47,51,11,55,69,6,92,99,32,22,91,16,14,67,53,41,89,100,42,76,70,74,40,35,60,33,86,7,62,45,3,34,96,72,28,80,59,29,50,66,12,82,71,1,15,27,52,19,23,75,65,64,79,83,8,93,63,84,46,90,21,36,13,57,94,31,17,78,30,77,38,81,98,56,97,88,44,4,39,9,10,24,2,73,61,25,58,54,68,37,26,18,85,20,95,87,43,49,13.2033082923119
29,87,94,44,88,25,53,67,41,58,54,68,30,78,77,6,69,55,11,45,7,76,47,63,17,81,38,89,37,18,10,9,85,39,57,13,71,36,15,1,65,23,75,12,66,49,5,34,3,96,72,59,31,4,95,20,82,50,43,64,97,79,8,83,61,24,2,73,26,14,100,92,99,32,22,91,16,42,98,56,93,80,28,51,62,60,70,74,46,90,21,52,19,27,48,84,35,40,33,86,13.04936059382
34,96,3,45,11,32,22,99,92,16,30,78,77,38,17,56,98,81,55,6,69,100,41,53,37,26,25,67,14,28,62,72,7,46,90,52,27,15,59,93,42,89,97,87,50,71,1,36,13,82,43,88,18,2,24,10,9,85,44,94,47,33,86,76,63,84,5,48,21,49,57,20,95,4,39,73,61,83,8,79,31,64,80,58,54,68,91,51,29,19,65,66,12,75,23,74,70,60,35,40,14.4083578605455
38,89,41,67,14,100,77,69,45,3,96,11,55,92,99,6,34,40,35,74,70,46,90,29,94,44,59,80,56,98,8,42,47,63,5,52,27,36,65,23,19,15,88,83,30,68,54,58,53,25,37,26,18,2,73,61,79,97,93,28,51,62,72,60,76,84,95,20,39,4,82,50,49,86,33,7,16,32,22,91,78,48,21,75,12,66,13,1,71,57,85,24,10,9,31,87,43,64,17,81,15.349965863331
10,9,39,4,44,59,51,62,3,96,45,8,79,88,94,1,15,49,5,76,28,80,56,98,81,69,55,11,48,19,23,52,46,34,40,35,60,33,61,73,26,37,53,25,42,38,77,16,30,92,6,72,7,74,70,86,41,67,14,58,54,99,32,22,91,68,78,17,97,31,64,43,13,66,12,75,65,27,90,21,36,71,82,87,83,100,89,93,47,63,84,29,50,57,20,95,85,24,2,18,15.6166428102827
24,10,9,57,13,66,12,82,43,87,64,56,17,42,81,38,11,72,84,48,21,27,19,49,50,44,88,61,73,18,26,25,28,7,33,86,76,47,94,95,20,4,39,31,59,80,63,5,52,23,75,65,36,15,1,71,93,77,16,99,92,6,69,45,62,51,8,79,97,98,96,3,34,55,22,32,91,68,54,67,53,37,14,58,30,78,100,41,83,89,40,35,60,70,74,46,90,29,85,2,14.9530261573202
25,79,97,63,76,47,56,42,16,22,32,99,92,6,69,55,33,86,21,36,19,27,52,90,46,74,70,60,61,2,24,87,43,50,49,29,93,91,54,68,58,83,39,4,88,44,95,20,82,71,65,66,12,75,23,84,7,96,3,45,11,34,40,35,72,62,51,28,80,98,17,81,38,77,30,78,100,89,8,94,31,64,59,5,48,15,1,13,57,85,9,10,18,73,26,37,41,14,67,53,14.6772161746325
95,20,4,39,9,10,85,88,79,8,81,38,100,89,42,98,97,93,56,80,29,64,31,44,25,37,26,61,73,18,2,24,57,13,12,75,23,19,15,27,5,76,7,72,28,63,84,59,17,41,58,14,67,53,83,11,55,69,6,91,32,22,68,54,78,51,47,90,46,86,45,92,99,16,30,77,62,60,70,74,35,40,34,3,96,33,52,21,48,49,50,71,1,36,65,66,82,43,87,94,13.4416863192787
74,70,60,38,89,41,14,100,42,81,17,98,56,93,80,28,62,72,11,92,99,32,91,22,16,30,77,69,55,6,78,61,73,26,37,25,45,96,86,33,47,63,84,5,48,21,52,23,75,66,13,82,43,94,88,44,57,12,65,49,29,64,87,50,71,36,1,15,19,27,90,46,76,7,68,54,58,97,59,31,95,20,4,39,85,9,10,24,2,18,53,67,83,79,8,51,3,34,40,35,13.3149982566615
100,58,14,67,83,79,8,93,97,31,64,87,43,71,82,39,2,18,26,25,88,4,95,20,57,13,1,15,36,19,27,49,5,70,60,7,34,3,96,62,51,28,59,94,44,85,9,10,24,73,61,37,53,41,89,42,80,56,98,17,81,38,69,11,45,72,47,63,84,48,21,52,76,86,33,23,65,75,12,66,50,29,90,46,74,35,40,55,6,77,68,54,91,22,32,99,92,16,30,78,12.004646020465
79,94,43,87,44,95,4,9,10,73,26,61,63,47,84,49,12,66,13,82,71,36,52,74,70,60,34,96,3,55,11,45,86,33,7,69,16,30,78,77,38,42,89,100,99,92,6,40,35,15,1,57,20,39,85,37,58,54,67,18,2,24,88,31,64,28,51,62,72,76,46,90,5,29,59,97,68,91,22,32,50,65,75,23,19,27,21,48,83,25,53,14,41,81,80,93,56,98,17,8,16.3579708112538
24,10,18,26,37,53,83,41,67,14,89,100,58,54,68,99,92,77,28,63,84,64,31,88,44,94,87,43,50,5,21,52,48,36,1,15,49,29,59,93,80,98,56,79,61,73,85,9,57,13,66,12,75,23,46,76,7,72,97,4,39,51,3,96,47,90,27,19,65,71,82,20,95,81,38,11,45,62,86,33,70,74,60,35,40,34,55,69,6,32,22,91,16,30,78,42,17,8,25,2,13.6089408494626
38,77,6,55,51,62,72,28,47,76,70,33,86,7,16,91,68,54,58,98,56,93,97,83,14,41,100,45,96,3,11,69,92,99,32,22,30,78,42,31,94,95,20,57,13,12,66,65,36,15,5,84,63,80,17,8,79,61,2,24,18,73,26,25,37,53,67,89,34,40,35,60,74,46,90,52,1,82,44,4,39,9,10,85,88,29,50,49,48,21,27,19,23,75,71,43,87,64,59,81,13.2627560191726
60,70,74,95,4,39,9,85,80,28,96,3,99,92,77,6,69,55,52,19,23,65,36,1,15,50,49,21,48,90,46,76,86,33,40,35,34,17,61,18,10,24,2,73,59,29,63,47,51,62,72,84,5,27,75,12,66,13,20,88,14,41,91,22,32,16,100,42,56,93,31,64,57,71,82,43,87,94,44,79,83,8,97,98,81,38,78,30,68,54,58,67,53,37,26,25,89,11,45,7,15.3173871854343
86,76,50,71,82,20,57,13,66,12,75,65,23,19,52,84,63,59,87,43,95,4,39,85,9,10,24,2,18,73,33,60,70,74,46,90,21,48,7,3,96,35,40,34,16,68,54,58,97,31,64,29,49,15,36,1,27,5,47,72,45,62,51,11,55,69,6,77,100,89,41,14,67,53,37,26,61,25,91,22,32,99,92,30,78,98,56,80,17,81,38,42,8,83,79,88,44,94,93,28,12.9042899415792
55,96,3,34,40,35,60,33,76,70,74,23,75,12,66,13,57,82,43,87,64,31,94,4,39,10,24,2,18,7,86,72,62,45,11,42,25,26,73,9,85,88,95,20,44,97,80,51,69,6,92,99,32,22,47,63,28,91,68,54,58,100,8,83,89,41,14,67,53,37,61,79,84,46,90,5,49,48,21,52,27,19,65,36,15,1,71,50,29,59,93,56,98,17,81,38,77,78,30,16,13.4905893503361
2,18,26,61,88,87,43,50,1,15,21,90,46,74,40,34,11,45,7,86,33,35,60,70,49,82,95,20,39,4,44,94,31,79,8,68,91,32,22,54,77,72,76,84,48,52,27,65,12,71,83,41,58,100,78,42,97,93,56,98,17,47,63,5,29,64,59,80,28,62,3,96,69,30,16,99,92,6,55,51,81,38,89,14,67,53,25,37,73,85,57,13,66,75,23,19,36,9,10,24,14.1009395689361
16,78,42,17,98,14,67,8,56,47,59,64,20,82,43,87,29,5,48,21,52,27,15,36,65,75,1,71,50,49,84,72,62,45,6,69,38,81,89,58,54,68,30,100,51,63,46,90,19,23,12,66,13,57,18,26,61,4,39,95,97,93,80,28,7,33,86,76,70,74,60,35,40,34,96,3,11,55,77,53,25,37,73,9,10,24,2,85,88,44,94,31,79,83,41,92,99,32,22,91,13.6085652225112
37,53,67,14,41,78,77,69,6,92,54,68,58,83,61,73,10,9,95,57,82,50,49,48,5,84,63,28,42,30,16,55,11,45,47,29,43,87,94,20,13,1,15,27,21,52,19,36,90,46,76,7,72,62,80,64,31,39,4,97,56,81,38,99,32,22,91,100,89,8,98,17,51,96,60,33,86,59,85,24,2,88,44,71,65,23,75,12,66,70,74,35,40,34,3,93,79,25,26,18,14.827707756559
39,2,18,26,67,14,58,30,16,6,69,55,11,45,62,28,80,56,93,97,79,8,42,81,17,98,59,65,75,23,19,36,15,27,52,74,70,60,33,86,7,76,64,31,72,96,3,51,38,89,83,25,37,53,54,68,91,22,32,99,92,77,78,100,41,61,73,24,10,9,85,88,34,40,35,50,71,66,12,21,48,90,46,84,47,63,29,87,43,82,95,4,20,57,13,1,49,5,94,44,13.6180265983477
59,28,69,92,99,16,91,32,22,68,54,30,38,42,81,62,51,72,45,96,3,34,40,35,76,31,94,95,4,85,37,53,67,78,77,6,55,11,80,82,13,12,75,23,65,66,36,1,93,56,98,17,8,83,26,18,10,9,39,20,57,71,27,19,15,50,43,87,44,88,61,24,2,73,25,79,97,49,52,21,48,5,84,63,47,89,100,58,14,41,7,33,86,70,74,60,46,90,29,64,13.763608648728
32,22,91,81,80,56,97,87,43,82,20,95,94,31,64,93,98,17,38,42,83,37,53,67,14,41,59,5,49,29,50,39,9,10,85,88,44,4,57,13,36,1,15,19,27,52,21,90,46,76,72,51,62,7,60,70,74,96,3,45,11,55,6,92,99,78,8,79,61,73,2,24,18,26,25,34,35,40,33,86,89,100,58,54,68,16,30,71,66,12,75,65,23,48,84,63,47,28,69,77,14.2471792368226
28,59,64,31,44,94,47,7,33,86,76,52,27,23,75,65,19,84,63,60,35,40,34,32,22,91,68,58,18,24,10,9,85,88,97,62,72,51,81,38,45,3,96,74,70,46,90,21,50,57,20,95,29,5,48,49,15,36,12,66,13,1,71,82,43,87,79,8,83,25,37,26,73,61,67,53,2,39,4,14,41,89,100,77,6,69,17,80,93,56,98,42,78,92,99,16,54,30,55,11,14.099904981311
87,31,88,79,8,89,41,14,67,26,18,2,63,76,86,33,7,28,80,59,29,19,23,75,12,66,13,57,82,50,5,90,46,47,72,62,21,52,27,65,94,73,61,56,40,34,51,81,42,83,25,37,53,100,78,77,60,70,74,35,58,54,68,91,22,32,99,6,55,3,96,17,98,24,10,9,85,39,4,44,95,20,49,48,84,45,11,69,92,16,30,38,93,97,64,71,1,36,15,43,16.051476209934
30,8,79,43,15,1,82,39,9,10,24,85,4,71,36,65,66,13,57,20,95,94,87,56,80,29,50,27,52,90,48,19,23,75,12,88,61,26,37,83,77,45,72,7,86,33,60,76,28,25,73,2,18,53,54,68,91,92,69,70,74,46,21,49,5,84,35,40,34,3,96,78,41,14,67,58,100,89,42,38,81,17,98,93,97,44,31,64,59,63,47,51,62,11,55,6,99,32,22,16,14.7246150917854
88,73,18,26,25,83,41,58,16,92,99,32,22,91,68,54,30,78,77,3,96,34,40,35,33,86,81,42,100,89,14,67,53,37,61,95,20,48,21,90,46,76,63,28,62,7,60,70,74,52,23,19,27,5,84,47,72,45,11,55,6,69,51,38,44,85,24,2,10,9,39,4,87,43,36,65,75,12,66,13,57,1,15,49,64,31,79,8,17,97,93,56,98,80,59,29,50,71,82,94,12.601822200045
14,67,18,2,73,26,37,25,82,65,75,36,1,15,27,52,23,19,49,84,63,3,34,40,35,60,70,74,5,48,21,90,46,7,62,72,47,76,86,33,96,51,45,11,55,59,71,12,66,13,57,61,53,100,78,30,68,54,58,83,88,44,94,87,43,28,38,69,6,77,92,99,32,22,91,16,8,79,97,31,64,29,50,95,20,85,24,10,9,39,4,93,56,80,98,17,81,42,89,41,13.8392548824003
98,93,97,4,39,9,10,73,26,53,37,25,88,85,95,20,57,13,36,19,27,52,46,34,40,35,60,74,70,76,62,8,79,45,96,3,7,47,84,23,75,12,66,65,1,15,50,43,29,56,80,28,63,5,48,21,90,51,54,68,58,14,61,24,2,18,67,83,82,71,49,87,94,44,31,64,59,78,30,16,92,99,6,69,55,11,33,86,72,77,91,22,32,100,41,89,42,38,81,17,14.7530204373389
65,1,15,49,50,82,94,31,97,8,83,53,37,26,25,80,28,33,86,76,47,84,5,48,21,52,90,46,74,70,60,7,81,17,61,73,2,18,67,68,22,91,54,58,41,14,88,44,71,36,23,19,27,38,30,16,32,99,92,77,4,20,95,96,3,34,40,35,63,29,43,87,64,59,93,56,98,42,89,100,78,6,69,55,11,45,72,62,51,79,24,10,9,85,39,57,13,66,12,75,14.3002995679685
