P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100,Dist
83,79,59,29,5,84,90,46,74,70,60,64,94,44,95,20,57,13,66,12,75,23,65,36,15,50,49,48,21,52,27,19,1,71,82,43,87,31,97,93,56,98,17,80,28,63,47,76,86,33,7,96,3,34,40,35,45,72,62,51,100,89,14,67,53,37,26,18,2,24,10,9,85,39,4,88,73,61,25,41,58,54,68,91,22,32,16,30,69,11,55,6,92,99,78,77,38,81,42,8,10.41272409
79,83,61,88,31,64,87,1,36,65,75,12,66,13,71,82,43,94,44,4,95,57,20,39,85,9,10,24,2,18,73,26,25,37,53,67,14,41,58,100,89,8,93,56,98,17,81,38,77,69,55,11,45,72,7,76,47,63,84,5,49,15,50,97,42,78,30,16,54,68,91,22,32,99,92,6,34,40,35,33,86,60,70,74,46,90,48,21,52,23,19,27,29,59,28,96,3,62,51,80,10.41989819
32,22,91,68,54,18,2,24,10,9,39,4,85,73,53,67,14,41,58,100,89,42,8,79,83,25,37,26,61,88,97,93,59,29,28,80,56,98,17,81,78,30,16,92,6,69,55,11,45,7,86,33,70,74,60,35,40,34,3,96,76,46,90,49,15,36,1,50,43,87,94,57,20,95,44,31,64,82,71,13,66,12,75,65,23,19,27,52,21,48,5,84,63,47,72,62,51,38,77,99,10.42162243
13,57,20,95,39,4,88,37,53,67,14,31,64,94,87,43,82,71,50,49,29,84,63,28,81,38,17,98,51,62,72,45,3,96,34,40,35,74,70,60,33,86,7,11,55,6,92,99,32,22,91,77,69,56,93,97,44,85,9,10,24,2,18,26,73,61,25,83,79,8,78,30,16,68,54,58,41,89,100,42,80,59,47,76,46,90,5,48,21,52,27,19,15,1,36,65,23,75,12,66,10.43848465
45,3,96,34,40,35,72,62,51,81,17,98,59,49,48,21,90,46,76,70,74,60,33,86,7,55,69,6,92,99,32,22,91,68,54,16,30,78,77,28,5,52,27,19,23,75,12,66,71,82,43,31,88,61,73,2,24,10,9,85,39,4,97,93,56,80,47,63,84,29,87,94,44,95,20,57,13,65,36,1,15,50,64,79,8,83,25,26,18,37,53,67,14,41,58,100,89,42,38,11,10.44674633
27,52,21,48,5,29,87,43,82,71,12,66,13,57,20,95,39,4,88,79,8,42,81,38,11,55,69,6,92,99,30,77,78,89,83,61,73,26,37,25,14,41,100,16,32,22,91,68,54,58,67,53,18,2,24,10,9,85,44,94,59,63,47,60,70,74,46,90,23,75,65,50,64,31,97,93,56,98,17,80,28,7,72,62,51,45,3,96,34,40,35,33,86,76,84,49,15,1,36,19,10.45293693
62,72,7,86,33,35,40,34,45,8,79,61,88,97,93,56,59,84,90,21,52,27,19,23,36,15,1,71,65,75,12,66,13,57,20,95,4,39,9,10,18,26,37,53,67,14,41,58,16,92,99,32,22,91,68,54,30,42,17,80,28,47,63,46,76,70,74,60,96,3,11,55,69,6,77,78,100,89,83,25,73,2,24,85,44,94,82,50,49,48,5,29,43,87,64,31,98,81,38,51,10.47250009
63,84,46,90,5,48,21,52,27,23,65,75,12,66,13,57,20,95,94,31,44,88,85,24,10,9,39,4,93,28,62,72,96,34,3,45,11,55,69,6,77,100,89,41,14,53,73,2,18,67,58,54,68,91,22,32,99,92,16,30,78,38,81,17,98,56,80,76,70,74,60,40,35,33,86,7,51,42,8,61,26,37,25,83,79,97,64,87,43,82,71,1,15,36,19,49,50,29,59,47,10.47751061
12,66,13,57,20,39,4,95,82,71,1,36,15,50,43,87,94,88,61,73,26,37,53,25,51,62,6,92,99,32,22,91,68,54,16,30,38,81,29,49,19,27,52,21,48,90,46,76,86,96,3,34,40,35,60,74,70,33,7,72,45,11,55,69,77,78,100,89,58,41,83,8,79,97,93,59,64,31,44,85,9,10,24,2,18,67,14,42,17,98,56,80,28,47,63,84,5,23,65,75,10.48554257
17,98,80,28,59,82,71,1,15,49,48,21,27,19,36,65,95,20,57,13,66,12,75,23,52,5,84,63,29,50,43,87,94,44,2,24,10,9,85,39,4,88,83,78,30,16,92,99,32,22,91,68,54,58,41,25,61,73,18,26,37,53,67,14,89,100,42,56,93,97,64,31,79,8,51,62,72,7,86,33,70,74,76,47,90,46,60,35,40,34,96,3,45,11,55,69,6,77,38,81,10.49083315
68,54,78,100,89,88,4,39,95,20,57,50,49,90,46,74,70,60,33,86,76,7,72,28,80,98,56,93,59,29,15,36,19,27,52,21,48,5,84,63,47,69,6,55,11,81,17,97,31,64,87,43,82,71,13,66,12,75,23,65,1,94,44,85,9,10,24,2,18,26,73,61,25,37,53,67,14,58,41,83,79,8,42,35,40,34,96,3,45,62,51,38,77,30,16,92,99,32,22,91,10.49554005
75,65,23,52,90,46,74,70,60,33,86,7,51,38,81,17,98,56,93,42,78,30,91,22,32,99,92,6,69,77,100,89,41,14,67,53,26,37,58,54,68,16,55,11,28,80,97,87,43,82,95,20,57,71,1,15,36,19,27,21,48,5,49,50,29,76,35,40,34,96,3,45,62,72,47,63,84,59,64,31,94,44,88,79,8,83,25,61,73,18,2,24,10,9,85,39,4,13,66,12,10.49578982
53,37,26,18,2,24,85,88,44,57,13,82,43,87,64,79,41,89,100,78,77,6,69,55,11,45,7,33,86,76,70,74,60,35,40,34,3,96,72,62,51,63,84,5,29,50,49,48,21,52,27,19,23,75,12,66,65,36,15,1,71,59,93,97,31,94,95,20,4,39,9,10,73,61,58,54,68,91,22,32,99,92,16,30,42,38,81,17,98,80,28,47,46,90,56,8,83,25,14,67,10.50426458
61,26,37,25,83,79,8,42,51,62,72,7,76,46,52,27,21,48,90,47,89,100,58,54,68,91,22,32,99,92,16,30,41,14,67,53,18,73,2,24,10,9,85,39,44,94,43,87,31,64,59,63,84,29,50,71,82,4,95,20,57,13,66,12,75,65,23,19,36,1,15,49,5,96,3,34,40,35,74,70,60,33,86,28,80,56,98,17,45,11,55,69,6,77,78,38,81,93,97,88,10.52853582
57,13,66,12,65,36,71,82,43,87,4,39,9,10,24,73,61,25,67,53,37,26,18,2,85,44,94,29,49,50,1,15,27,48,21,52,23,75,19,5,84,90,46,76,34,40,35,74,70,60,33,86,7,45,11,69,77,38,81,42,78,58,54,68,91,22,32,99,92,16,30,6,55,3,96,72,62,51,28,56,93,97,31,64,59,63,47,80,98,17,8,89,100,41,14,83,79,88,95,20,10.53857724
22,32,77,69,7,33,86,76,36,65,19,27,52,90,46,47,63,84,5,48,21,23,75,12,66,13,57,20,95,4,39,85,9,10,24,2,18,73,26,37,53,67,14,25,61,88,44,82,71,1,15,43,87,94,31,64,80,28,60,70,74,35,40,34,3,96,72,62,51,81,38,42,78,30,16,99,92,6,55,11,45,17,98,56,93,50,49,29,59,97,79,8,83,41,89,100,58,54,68,91,10.54135108
